City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,yaren,-0.5472,166.916,301.01,78,100,7.73,NR,1696709842
352,ukhta,63.5671,53.6835,280.13,93,100,2.68,RU,1696709842
353,bintulu,3.1667,113.0333,298.38,100,20,0.0,MY,1696709843
354,lamu,-2.2717,40.902,298.27,81,100,5.61,KE,1696709680
355,beyneu,45.3167,55.2,287.24,61,19,5.91,KZ,1696709844
356,salinopolis,-0.6136,-47.3561,301.55,75,0,6.32,BR,1696709844
357,cove,7.221,2.3402,297.18,89,79,1.37,BJ,1696709845
358,bani walid,31.7566,13.9942,294.14,62,2,4.17,LY,1696709845
359,peniche,39.3558,-9.3811,295.42,88,0,0.99,PT,1696709846
360,gbarnga,6.9956,-9.4722,295.84,98,100,0.96,LR,1696709846
361,argostolion,38.1811,20.489,295.19,47,20,2.57,GR,1696709847
362,alesund,62.4723,6.1549,281.35,77,40,3.09,NO,1696709682
363,tofol,5.3248,163.0078,301.0,73,100,0.72,FM,1696709650
364,sinabang,2.4803,96.3801,299.45,83,100,2.28,ID,1696709637
365,lauro de freitas,-12.8944,-38.3272,300.16,74,40,5.14,BR,1696709722
